번호,개방자치단체코드,관리번호,소재지우편번호,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,업태구분명,좌표정보(x),좌표정보(y),위생업태명
22669,4170000,4170000-201-2020-00002,476922,경기도 양평군 강하면 전수리 553-33,경기도 양평군 강하면 강남로 340,12575,더테라스호텔,일반호텔,237322.0579,444558.2587,일반호텔
22685,3180000,3180000-201-2020-00002,150903,서울특별시 영등포구 영등포동2가 317-2,"서울특별시 영등포구 영등포로47길 8-1, 엔와이호스텔 (영등포동2가)",7252,바모스,관광호텔,191858.0273,446421.2133,관광호텔
22691,5600000,5600000-201-2020-00001,487851,경기도 포천시 일동면 기산리 89-3 일동코아,"경기도 포천시 일동면 화동로 1037, 일동코아 6~7층",11116,호텔알로하,일반호텔,227734.3568,494885.8118,일반호텔
22693,4160000,4160000-214-2020-00018,,경기도 가평군 조종면 운악리 417-10,"경기도 가평군 조종면 현등사길 55-209, 가,나,다,라,마동",12432,스파펠리체펜션,숙박업(생활),230388.3097,484174.7762,숙박업(생활)
22699,4160000,4160000-214-2020-00017,477824,"경기도 가평군 상면 행현리 621-1 (1~2동), 621-2, 621-6, 621-7","경기도 가평군 상면 수목원로386번길 43 (행현리 621-1(1~2동), 621-2, 621-6, 621-7)",12448,블루문펜션,숙박업(생활),230826.0221,471597.472,숙박업(생활)
22700,4160000,4160000-201-2020-00004,477811,"경기도 가평군 청평면 호명리 144-2 외1필지 (지하1층~4층) A,B,C동","경기도 가평군 청평면 호명리길 57-128, A,B,C동 지하1~4층",12455,호명해와달,관광호텔,240378.11,469297.5399,관광호텔
22706,3000000,3000000-201-2020-00015,110842,서울특별시 종로구 창신동 444-9 임진빌딩,"서울특별시 종로구 종로46길 22, 임진빌딩 (창신동)",3119,24guesthouse동대문마켓점,관광호텔,200833.1214,452040.3239,관광호텔
22707,3000000,3000000-201-2020-00016,110111,서울특별시 종로구 관철동 35-1 동산빌딩,"서울특별시 종로구 종로16길 32-4, 동산빌딩 (관철동)",3191,호스텔 클로이,관광호텔,198924.4933,451826.5407,관광호텔
22708,3000000,3000000-201-2020-00019,110841,서울특별시 종로구 창신동 329-18,"서울특별시 종로구 종로54길 9-10, 2,3층 (창신동)",3121,동대문 서울 달빛,관광호텔,201214.6202,452180.4066,관광호텔
22709,3000000,3000000-201-2020-00022,110111,서울특별시 종로구 관철동 43-8 관철동 빌딩,"서울특별시 종로구 청계천로 61, 관철동 빌딩 (관철동)",3189,호스텔 하루,관광호텔,198545.2224,451854.8209,관광호텔
22710,3000000,3000000-201-2020-00024,110524,서울특별시 종로구 명륜4가 188-12 서울씨티빌딩,"서울특별시 종로구 창경궁로 224, 2,3층 (명륜4가, 서울씨티빌딩)",3079,호스텔 데이,관광호텔,199747.0244,453304.9106,관광호텔
22711,3000000,3000000-201-2020-00025,110825,서울특별시 종로구 숭인동 202-13,서울특별시 종로구 종로66가길 21 (숭인동),3115,서울앤호텔 동대문,관광호텔,201770.688,452337.6907,관광호텔
22713,3000000,3000000-201-2020-00011,110126,서울특별시 종로구 종로6가 289-3,서울특별시 종로구 청계천로 279 (종로6가),3198,(주) 동승 JW메리어트 동대문 스퀘어 서울,관광호텔,200717.749,452011.8651,관광호텔
22714,3000000,3000000-201-2020-00010,110340,서울특별시 종로구 익선동 34-3,서울특별시 종로구 삼일대로30길 31 (익선동),3132,호텔 이비스앰배서더 인사동,관광호텔,198999.5258,452458.3913,관광호텔
22715,3000000,3000000-201-2020-00017,110450,서울특별시 종로구 원남동 177-9 호텔고궁,"서울특별시 종로구 율곡로 164, 호텔고궁 (원남동)",3136,고궁호텔,관광호텔,199644.6368,452623.1981,관광호텔
22716,3000000,3000000-201-2020-00018,110380,서울특별시 종로구 권농동 127-1 셀립 순라,"서울특별시 종로구 율곡로10길 11, 셀립 순라 (권농동)",3134,셀립 순라,관광호텔,199156.6239,452747.808,관광호텔
22717,3000000,3000000-201-2020-00026,110829,서울특별시 종로구 숭인동 1405,서울특별시 종로구 난계로29길 19-11 (숭인동),3116,루미아호텔,관광호텔,201895.4194,452395.1298,관광호텔
